Date,Price,Open,High,Low,Vol.,Change %
21-02-2024,"62,108","62,211","62,279","62,052",2,-0.09%
20-02-2024,"62,167","62,007","62,258","61,931",3.25,0.26%
19-02-2024,"62,004","61,970","62,107","61,903",2.12,0.20%
16-02-2024,"61,878","61,651","61,904","61,451",3.97,0.42%
15-02-2024,"61,622","61,407","61,745","61,284",3.88,0.29%
14-02-2024,"61,443","61,393","61,478","61,190",3.33,-0.10%
13-02-2024,"61,504","62,173","62,399","61,400",6.87,-0.92%
12-02-2024,"62,078","62,240","62,328","61,926",3.68,-0.35%
09-02-2024,"62,294","62,464","62,544","62,170",3.27,-0.24%
08-02-2024,"62,443","62,436","62,557","62,182",4.72,-0.13%
07-02-2024,"62,524","62,515","62,730","62,401",3.52,-0.08%
06-02-2024,"62,574","62,261","62,625","62,220",3.42,-1.21%
05-02-2024,"63,338","62,836","65,040","62,501",0.07,0.30%
02-02-2024,"63,150","63,624","63,624","62,800",0.07,-0.81%
01-02-2024,"63,665","62,880","63,979","62,660",0.11,1.12%
31-01-2024,"62,958","62,573","63,039","62,560",0.26,0.52%
30-01-2024,"62,632","62,174","62,835","62,174",1.56,0.72%
29-01-2024,"62,186","62,080","62,299","62,041",4.56,0.36%
25-01-2024,"61,964","61,932","62,143","61,840",4.04,-0.03%
24-01-2024,"61,985","61,994","62,259","61,850",5.22,0.03%
23-01-2024,"61,968","61,904","62,224","61,811",4.63,0.16%
22-01-2024,"61,868","61,880","62,049","61,752",1.8,-0.22%
19-01-2024,"62,004","61,876","62,254","61,840",4.48,0.38%
18-01-2024,"61,769","61,539","61,800","61,482",4.43,0.43%
17-01-2024,"61,505","62,054","62,090","61,454",7.36,-0.82%
16-01-2024,"62,015","62,461","62,521","61,977",6.15,-0.87%
15-01-2024,"62,559","62,502","62,646","62,451",3.28,0.32%
12-01-2024,"62,362","61,925","62,690","61,925",7.92,0.93%
11-01-2024,"61,788","62,146","62,477","61,731",6.55,-0.34%
10-01-2024,"61,996","62,230","62,399","61,966",4.23,-0.29%
09-01-2024,"62,179","62,149","62,490","62,114",5.08,0.14%
08-01-2024,"62,095","62,511","62,511","61,925",6.64,-0.74%
05-01-2024,"62,557","62,631","63,079","62,160",8.02,-0.13%
04-01-2024,"62,640","62,724","62,820","62,476",4.32,0.21%
03-01-2024,"62,507","63,258","63,345","62,418",8.52,-1.19%
02-01-2024,"63,257","63,329","63,653","63,106",5.14,-0.10%
01-01-2024,"63,320","63,225","63,379","63,181",0.66,0.19%
29-12-2023,"63,203","63,246","63,385","63,051",4.28,-0.29%
28-12-2023,"63,389","63,728","63,821","63,333",4,-0.45%
27-12-2023,"63,678","63,198","63,710","63,179",5.3,1.04%
26-12-2023,"63,025","63,149","63,198","62,903",3.02,0.11%
22-12-2023,"62,954","62,784","63,277","62,687",7,0.72%
21-12-2023,"62,503","62,412","62,680","62,369",3.85,0.14%
20-12-2023,"62,415","62,533","62,610","62,309",4.29,-0.10%
19-12-2023,"62,476","62,100","62,670","62,069",4.32,0.30%
18-12-2023,"62,291","62,193","62,368","61,950",4.01,0.16%
15-12-2023,"62,192","62,550","62,597","62,055",5.13,-0.42%
14-12-2023,"62,454","61,391","62,880","61,391",9.27,2.05%
13-12-2023,"61,199","61,196","61,340","61,001",4.19,0.03%
12-12-2023,"61,181","61,236","61,583","61,108",5.22,0.10%
11-12-2023,"61,117","61,800","61,860","61,099",5.74,-0.98%
08-12-2023,"61,719","62,525","62,579","61,625",7.37,-1.20%
07-12-2023,"62,466","62,414","62,736","62,222",4.5,0.04%
06-12-2023,"62,440","62,250","62,567","62,201",4.51,-0.26%
05-12-2023,"62,600","62,900","64,460","62,375",0.02,0.00%
04-12-2023,"62,599","63,550","63,881","62,171",0.04,-0.81%
01-12-2023,"63,112","62,512","63,356","62,464",0.04,0.88%
30-11-2023,"62,559","62,594","62,649","62,420",0.09,-0.07%
29-11-2023,"62,605","62,602","62,675","62,300",1.41,0.35%
28-11-2023,"62,385","61,619","62,423","61,485",4.61,1.37%
27-11-2023,"61,540","61,597","61,691","61,451",2.69,0.29%
24-11-2023,"61,364","61,072","61,390","61,056",3.57,0.48%
23-11-2023,"61,072","61,074","61,184","61,009",3.11,0.08%
22-11-2023,"61,024","61,159","61,366","60,939",4.5,-0.33%
21-11-2023,"61,225","60,805","61,360","60,805",6.29,0.94%
20-11-2023,"60,657","60,719","60,774","60,356",4.46,-0.09%
17-11-2023,"60,713","60,686","61,000","60,633",4.1,-0.01%
16-11-2023,"60,722","60,148","61,914","60,110",7.35,1.02%
15-11-2023,"60,111","60,166","60,444","60,015",4.95,0.08%
14-11-2023,"60,065","59,795","60,329","59,736",3.5,0.37%
13-11-2023,"59,842","59,699","59,920","59,490",4.22,0.11%
12-11-2023,"59,775","59,551","59,779","59,551",0.58,0.19%
10-11-2023,"59,659","60,233","60,269","59,638",6.18,-1.03%
09-11-2023,"60,282","59,903","60,351","59,760",6.3,0.45%
08-11-2023,"60,009","60,396","60,448","59,950",4.15,-0.56%
07-11-2023,"60,347","60,596","60,603","60,151",6.5,-0.70%
06-11-2023,"60,770","60,847","60,975","60,732",3.6,-0.41%
03-11-2023,"61,020","60,911","61,330","60,889",6.61,0.18%
02-11-2023,"60,911","60,890","61,042","60,750",3.23,0.21%
01-11-2023,"60,785","60,820","61,164","60,661",5.38,-0.25%
31-10-2023,"60,940","61,117","61,539","60,905",7.11,-0.55%
30-10-2023,"61,280","61,396","61,396","61,110",6.4,0.20%
27-10-2023,"61,156","60,915","61,268","60,693",6.35,0.33%
26-10-2023,"60,952","60,824","61,070","60,585",6.51,0.21%
25-10-2023,"60,826","60,478","60,911","60,277",7.2,0.48%
24-10-2023,"60,537","60,184","60,574","60,125",3.46,-0.10%
23-10-2023,"60,599","60,400","60,801","60,400",4.93,-0.23%
20-10-2023,"60,736","60,401","61,124","60,313",9.86,0.69%
19-10-2023,"60,318","59,720","60,375","59,720",7.26,0.41%
18-10-2023,"60,073","59,500","60,259","59,480",9.22,1.44%
17-10-2023,"59,218","59,166","59,478","59,000",5.97,-0.32%
16-10-2023,"59,408","59,209","59,280","58,880",4.8,0.00%
13-10-2023,"59,408","57,970","59,439","57,931",11.42,2.57%
12-10-2023,"57,918","58,045","58,235","57,881",5.26,-0.04%
11-10-2023,"57,940","57,619","58,073","57,600",5.16,0.54%
10-10-2023,"57,629","57,689","57,744","57,501",5.09,0.10%
09-10-2023,"57,572","57,000","57,606","57,000",5.34,1.23%
06-10-2023,"56,871","56,735","56,910","56,421",6.04,1.27%
05-10-2023,"56,158","56,200","56,213","56,075",0.01,-0.33%
04-10-2023,"56,343","56,237","56,631","56,225",0.02,0.11%
